,account_id,budget_x
0,4,4674.0
1,11,30000.0
2,14,3000.0
3,16,2500.0
4,19,1144500.0
5,21,5000.0
6,28,5000.0
7,36,40000.0
8,44,5000.0
9,45,10000.0
10,52,25000.0
11,58,45000.0
12,59,5000.0
13,61,2500.0
14,67,85000.0
15,70,42500.0
16,71,20000.0
17,74,37500.0
18,82,130000.0
19,84,4174216.6
20,87,10000.0
21,90,7500.0
22,94,13000.0
23,95,2500.0
24,102,42500.0
25,103,7500.0
26,106,2500.0
27,109,17500.0
28,117,117500.0
29,119,7500.0
30,123,2500.0
31,125,185000.0
32,126,5000.0
33,129,1182500.0
34,130,297500.0
35,132,35000.0
36,137,85000.0
37,139,20000.0
38,140,567500.0
39,141,20000.0
40,142,5000.0
41,143,787500.0
42,145,1445000.0
43,148,88000.0
44,151,532500.0
45,152,18500.0
46,155,210000.0
47,162,47500.0
48,163,201000.0
49,167,25000.0
50,170,7500.0
51,172,5000.0
52,173,341000.0
53,174,2263500.0
54,175,5000.0
55,186,142500.0
56,187,5000.0
57,190,2500.0
58,191,20000.0
59,198,797500.0
60,199,75000.0
61,203,5000.0
62,205,17500.0
63,206,5000.0
64,211,682500.0
65,214,2500.0
66,219,432500.0
67,220,5000.0
68,222,363000.0
69,225,35000.0
70,226,165000.0
71,227,97500.0
72,228,12500.0
73,230,20000.0
74,231,260000.0
75,233,5000.0
76,235,7500.0
77,237,160000.0
78,241,140000.0
79,244,47500.0
80,246,15000.0
81,250,150000.0
82,251,12500.0
83,255,20000.0
84,256,3000.0
85,257,7500.0
86,261,10000.0
87,263,20000.0
88,268,10000.0
89,271,17500.0
90,278,7500.0
91,282,47000.0
92,286,12500.0
93,288,85000.0
94,291,40000.0
95,292,12500.0
96,293,22500.0
97,295,2500.0
98,296,2500.0
99,298,305500.0
100,299,142500.0
101,300,2500.0
102,302,13000.0
103,303,2500.0
104,304,22500.0
105,305,10000.0
106,307,35000.0
107,308,20000.0
108,309,20000.0
109,310,15000.0
110,317,10000.0
111,318,12500.0
112,320,63000.0
113,321,12500.0
114,322,22500.0
115,323,5000.0
116,325,25000.0
117,326,247500.0
118,328,3000.0
119,330,10000.0
120,331,2500.0
121,332,5000.0
122,333,2500.0
123,335,5000.0
124,336,1202500.0
125,337,12500.0
126,339,52500.0
127,341,2500.0
128,343,10000.0
129,344,195000.0
130,350,2500.0
131,351,95000.0
132,355,35000.0
133,358,10000.0
134,362,100000.0
135,363,25000.0
136,366,5000.0
137,368,5000.0
138,369,25000.0
139,370,55000.0
140,371,2500.0
141,376,37500.0
142,377,292500.0
143,381,2500.0
144,383,32500.0
145,385,185000.0
146,393,340500.0
147,395,10000.0
148,398,5000.0
149,404,22500.0
150,408,77500.0
151,413,102500.0
152,418,2500.0
153,419,10000.0
154,420,87500.0
155,425,47500.0
156,427,2500.0
157,429,2500.0
158,431,2500.0
159,435,7500.0
160,436,10000.0
161,442,22500.0
162,444,487500.0
163,446,40000.0
164,447,7500.0
165,455,5000.0
166,459,2500.0
167,460,32000.0
168,463,70000.0
169,467,123750.0
170,469,15000.0
171,470,17500.0
172,473,5500.0
173,474,536500.0
174,480,7500.0
175,481,25000.0
176,482,7500.0
177,488,2707500.0
178,500,10000.0
179,503,5000.0
180,508,20000.0
181,511,2500.0
182,513,5000.0
183,514,30000.0
184,517,2500.0
185,520,23500.0
186,521,10000.0
187,522,460000.0
188,532,15000.0
189,534,90000.0
190,540,5000.0
191,542,873000.0
192,546,10000.0
193,549,40000.0
194,550,60000.0
195,554,30000.0
196,555,5000.0
197,561,5000.0
198,562,12500.0
199,563,25000.0
200,564,10000.0
201,568,92500.0
202,570,2500.0
203,573,1699500.0
204,575,5000.0
205,576,35000.0
206,583,17500.0
207,585,2500.0
208,597,651000.0
209,599,25000.0
210,605,30000.0
211,607,5000.0
212,610,12500.0
213,617,5000.0
214,622,10000.0
215,623,5000.0
216,627,30000.0
217,628,510000.0
218,630,5000.0
219,631,2500.0
220,633,2500.0
221,634,20000.0
222,637,2500.0
223,638,2500.0
224,641,30000.0
225,643,8000.0
226,644,60000.0
227,647,1232500.0
228,648,30000.0
229,651,20000.0
230,652,5000.0
231,655,2395000.0
232,664,2500.0
233,670,82500.0
234,675,1970500.0
235,677,15000.0
236,681,30000.0
237,683,5000.0
238,684,20000.0
239,685,55000.0
240,687,5000.0
241,696,260000.0
242,706,22500.0
243,707,81500.0
244,709,5000.0
245,714,15000.0
246,715,37500.0
247,716,112500.0
248,717,50000.0
249,719,5000.0
250,720,15000.0
251,721,72500.0
252,723,10000.0
253,725,7500.0
254,726,2500.0
255,727,15000.0
256,729,2500.0
257,731,5000.0
258,733,124000.0
259,734,1495000.0
260,738,10000.0
261,742,10000.0
262,743,30000.0
263,744,5000.0
264,745,57500.0
265,748,10000.0
266,754,110000.0
267,755,17500.0
268,757,97500.0
269,760,2500.0
270,761,67500.0
271,763,10000.0
272,765,2500.0
273,769,15000.0
274,773,5000.0
275,780,42500.0
276,782,17500.0
277,791,32500.0
278,792,5000.0
279,793,2500.0
280,798,120000.0
281,803,7500.0
282,805,75000.0
283,813,2500.0
284,817,5000.0
285,822,40000.0
